"Image Name","PID","Session Name","Session#","Mem Usage"
"WidgetService.exe","17820","Console","33","10,172 K"
"MicrosoftStartFeedProvider.exe","21128","Console","33","27,828 K"
"ApplicationFrameHost.exe","14424","Console","33","5,148 K"
"SystemSettings.exe","16792","Console","33","1,456 K"
"svchost.exe","6964","Console","33","13,980 K"
"svchost.exe","3032","Services","0","5,176 K"
"ShellExperienceHost.exe","14460","Console","33","8,892 K"
"RuntimeBroker.exe","8164","Console","33","11,712 K"
"powershell.exe","13916","Console","33","38,916 K"
"conhost.exe","15512","Console","33","8,992 K"
"OpenConsole.exe","21688","Console","33","10,028 K"
"WindowsTerminal.exe","4072","Console","33","43,156 K"
"LockApp.exe","16904","Console","33","3,268 K"
"RuntimeBroker.exe","12448","Console","33","12,996 K"
"chrome.exe","13172","Console","33","16,936 K"
"chrome.exe","22076","Console","33","23,076 K"
"chrome.exe","10764","Console","33","63,540 K"
"audiodg.exe","15788","Services","0","94,180 K"
"ChatGPT.exe","12564","Console","33","159,020 K"
"ChatGPT.exe","13476","Console","33","10,644 K"
"ChatGPT.exe","14068","Console","33","8,584 K"
"ChatGPT.exe","18004","Console","33","40,964 K"
"ChatGPT.exe","21528","Console","33","45,004 K"
"ChatGPT.exe","3292","Console","33","19,600 K"
"ChatGPT.exe","11196","Console","33","173,780 K"
"ChatGPT.exe","21412","Console","33","68,832 K"
"codex.exe","11096","Console","33","58,068 K"
"conhost.exe","21016","Console","33","6,020 K"
"svchost.exe","7716","Services","0","8,644 K"
"ChatGPT.exe","13908","Console","33","58,920 K"
"chrome.exe","5180","Console","33","55,488 K"
"chrome.exe","16540","Console","33","659,396 K"
"python.exe","13524","Console","33","5,000 K"
"python.exe","11728","Console","33","38,152 K"
"WmiPrvSE.exe","21652","Services","0","17,288 K"
"chrome.exe","21844","Console","33","67,324 K"
"chrome.exe","18932","Console","33","83,656 K"
"tasklist.exe","16004","Console","33","11,864 K"
