"Image Name","PID","Session Name","Session#","Mem Usage"
"AsusSoftwareManagerAgent.exe","8036","Console","33","9,524 K"
"AdobeCollabSync.exe","21836","Console","33","6,352 K"
"AdobeCollabSync.exe","9148","Console","33","13,780 K"
"IGCCTray.exe","16072","Console","33","16,740 K"
"IGCC.exe","19228","Console","33","11,624 K"
"MEGAsync.exe","6516","Console","33","30,536 K"
"CCXProcess.exe","20724","Console","33","1,896 K"
"node.exe","11520","Console","33","29,216 K"
"conhost.exe","3200","Console","33","3,872 K"
"mega-desktop-app-gfxworker.exe","3216","Console","33","10,784 K"
"AdobeIPCBroker.exe","21812","Console","33","6,668 K"
"WidgetService.exe","17820","Console","33","11,444 K"
"MicrosoftStartFeedProvider.exe","21128","Console","33","32,568 K"
"ApplicationFrameHost.exe","14424","Console","33","5,260 K"
"SystemSettings.exe","16792","Console","33","1,456 K"
"svchost.exe","6964","Console","33","14,008 K"
"svchost.exe","3032","Services","0","5,064 K"
"ShellExperienceHost.exe","14460","Console","33","8,892 K"
"RuntimeBroker.exe","8164","Console","33","11,712 K"
"powershell.exe","13916","Console","33","50,064 K"
"conhost.exe","15512","Console","33","8,988 K"
"OpenConsole.exe","21688","Console","33","10,116 K"
"WindowsTerminal.exe","4072","Console","33","45,272 K"
"LockApp.exe","16904","Console","33","3,268 K"
"RuntimeBroker.exe","12448","Console","33","13,244 K"
"chrome.exe","13172","Console","33","19,708 K"
"chrome.exe","22076","Console","33","53,032 K"
"chrome.exe","10764","Console","33","124,648 K"
"audiodg.exe","15788","Services","0","94,792 K"
"ChatGPT.exe","12564","Console","33","211,528 K"
"ChatGPT.exe","13476","Console","33","11,080 K"
"ChatGPT.exe","14068","Console","33","9,076 K"
"ChatGPT.exe","18004","Console","33","82,768 K"
"ChatGPT.exe","21528","Console","33","52,308 K"
"ChatGPT.exe","3292","Console","33","27,508 K"
"ChatGPT.exe","11196","Console","33","276,852 K"
"ChatGPT.exe","21412","Console","33","109,136 K"
"codex.exe","11096","Console","33","75,004 K"
"conhost.exe","21016","Console","33","6,536 K"
"svchost.exe","7716","Services","0","9,480 K"
"ChatGPT.exe","13908","Console","33","132,256 K"
"chrome.exe","5180","Console","33","65,536 K"
"chrome.exe","16540","Console","33","688,480 K"
"chrome.exe","18884","Console","33","57,196 K"
"python.exe","13524","Console","33","5,040 K"
"python.exe","11728","Console","33","25,176 K"
"tasklist.exe","14808","Console","33","11,888 K"
"WmiPrvSE.exe","21652","Services","0","14,364 K"
